animeTitle	Mugen Senki Portriss
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13454
animeDescription	"In a raving world, legendary knights stood up. Will they become gods of war or world saviors? Three Portriss Knights and sole human boy are now going to change the World!

Portriss Planet, home of where robots live in peace. However, this peacefulness was ruined by the sudden appearance of a Dictator ""Dark Portriss"". Dark Portriss plans to attain infinite powers through the use of the ""Space-time destroying Cannon"". The only ones able to stop this are the Portriss Knights! A boy, Yuuma, accidentally got into the Portriss World, and the Portrisses` adventure begins!

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Yuuma', 'Kuro Maryu', 'Dual Carrie', 'Dark Potoris', 'Ion Elgar', 'Dual Rose']
animeVoices	['Shiraishi, Ryouko', 'Kosugi, Juurouta', 'Kamiya, Hiroshi', 'Hashi, Takaya', 'Sugimoto, Yuu', 'Chafurin']
animeStaff	[['Miyoshi, Keiichirou', 'Sound Director'], ['COOL', 'Theme Song Performance'], ['ENVY', 'Theme Song Performance'], ['Takaya, Hirotoshi', 'Character Design']]
