animeTitle	Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori
animeType	Special
animeNumEpisode	1
releaseDate	2005-07-22 00:00:00
endDate	
animeNumMembers	5720
animeScore	7.04
animeUsers	2277
animeRank	3623
animePopularity	6636
animeDescription	"Stolen from the famous ""secret"" Air Force base, Area 51, Lupin's most recently stolen treasure holds a secret. Four ""Bloody Angels,"" the toughest women Lupin has ever faced, want the treasure for their own terrorist purposes. Meanwhile Zenigata teams up with a female police officer to hunt Lupin and the terrorists down.

(Source: ANN)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Bomber Linda', 'Emily', 'Kaoru the Ripper', 'Lady Jo', 'Poison Sophie']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou', 'Arai, Satomi', 'Matsui, Naoko', 'Tanaka, Atsuko', 'Asano, Mayumi', 'Noto, Mamiko']
animeStaff	[['Miya, Shigeyuki', 'Director, Storyboard'], ['Monkey Punch', 'Original Creator'], ['Oono, Yuuji', 'Music'], ['Namura, Hidetoshi', 'Key Animation']]
