animeTitle	Quote
animeType	Music
animeNumEpisode	3
releaseDate	2017-12-18 00:00:00
endDate	2018-01-29 00:00:00
animeNumMembers	
animeScore	6.12
animeUsers	323
animeRank	
animePopularity	12260
animeDescription	"Three official music videos for Red, Cambell, and Amador on Suda Keina's ""Quote"" album that was released on January 31, 2018. Avogado6 animated them and they were released on Suda Keina's official YouTube channel as well as airing on Space Shower TV under U&R Records' label."
animeRelated	['Road to You']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
