animeTitle	b'Zuori Qing Kong Pilot'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	260
animeRank	
animePopularity	
animeDescription	"b'In the late 90\'s, in China, Tu Xiaoyi, an high school student, takes no interest in marks and prefers to play video games with his friend nicknamed ""Peanut."" One day, he was chosen by his teacher to become the class representative with Yao Zhetian, a very cute girl. He will experience his first love and disappointments.'"
animeRelated	[b'Zuori Qing Kong']
animeCharacters	[b'Qi, Jingxuan', b'Yao, Zhetian', b'Tu, Xiaoyi', b'Qiang', b'Chen', b'Tu, Grandfather', b'Hua, Bo']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSun, Meng\n\nDirector, Chief Animation Director, Key Animation\n\n', b'\nPocket Chocolate\n\nDirector, Original Creator\n\n', b'\nXianyu-jun\n\nSound Director, Sound Effects\n\n', b'\nM2U\n\nMusic\n\n']
