animeTitle	Toaru Hikuushi e no Koiuta
animeType	TV
animeNumEpisode	13
releaseDate	2014-01-06 00:00:00
endDate	2014-03-31 00:00:00
animeNumMembers	
animeScore	7.18
animeUsers	37085
animeRank	
animePopularity	1721
animeDescription	"In order to uncover the ""end of the sky,"" as spoken of in ancient mythology, Kal-el Albus is sent to Isla, an island in the sky. There he attends Cadoques High's Aerial Division, where he enjoys a carefree life with his schoolmates. That is...until a surprise attack by the air tribe drags Isla into a bloody war.

(Source: NIS America)"
animeRelated	['Toaru Hikuushi e no Koiuta', 'Toaru Hikuushi e no Tsuioku']
animeCharacters	['Albus, Kal-el', 'Cruz, Claire', 'Albus, Ariel', 'Axis, Ignacio', 'Fukuhara, Mitsuo', 'Cervantes, Amelia', 'de Lucia, Chiharu', 'de Alarcon, Luis', 'Albus, Michael', 'Hazome, Shizuka']
animeVoices	['Hanae, Natsuki', 'Yuuki, Aoi', 'Taketatsu, Ayana', 'Ishikawa, Kaito', 'Hamazoe, Shinya', 'Takimoto, Fujiko', 'Tano, Asami', 'Kosugi, Juurouta', 'Matsuyama, Takashi', 'Satou, Hana']
animeStaff	[['Suzuki, Toshimasa', 'Director, Episode Director, Storyboard, Key Animation'], ['Yoshida, Reiko', 'Script'], ['Inotsume, Shinichi', 'Script, Series Composition, Screenplay'], ['Suzuki, Takaaki', 'Script']]
