animeTitle	The iDOLM@STER Million Live!
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	3036
animeScore	
animeUsers	
animeRank	
animePopularity	8383
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	"['The iDOLM@STER', 'The iDOLM@STER Million Live! 1st Anniversary PV', 'The iDOLM@STER Million Live! ""Dreaming!"" Animation PV', 'The iDOLM@STER Million Live! 4th Anniversary PV']"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
