animeTitle	Mameshiba
animeType	Special
animeNumEpisode	24
releaseDate	2008-03-01 00:00:00
endDate	2013-01-01 00:00:00
animeNumMembers	4918
animeScore	7.03
animeUsers	2388
animeRank	3694
animePopularity	7039
animeDescription	In these short animated clips, little dog-faced talking beans appear in people's food and inform them about different facts.
animeRelated	"['Gintama x Mameshiba', 'InaDan Movie x Mameshiba Collab CM', 'Mameshiba x Gaist Crusher Collab CM', 'Mame-Mofu Collab Animation', 'Mahouka x Mameshiba', 'Donten ni Warau x Mameshiba', 'Osomatsu-san x Mameshiba', 'Hametarou', 'Mameshiba x Tunes!', 'Fairy Tail x Mameshiba', 'Mameshiba x Nanatsu no Taizai', 'Inochi Sketch x Mameshiba', 'Mameshiba Gakuen', 'Tanahashi Hiroshi X Mameshiba Pro Wrestling', 'Babyshiba', 'Bic Contact X Mameshiba Collab CM', 'Mameshi-Pamyu-Pamyu', 'Mameshiba Bangai-hen', 'Henna Omamesan', 'Mameshiba the DVD Green Pea-shiba no Kutsujoku', '""Kinako"" Movie x Mameshiba', '""R100"" x Mameshiba Original Manners', '""Kiss Dekiru Gyoza"" x Mameshiba Movie']"
animeCharacters	['Tiger Bean', 'Coffee Bean', 'Jelly Bean', 'Green Pea', 'Nut, Cashew', 'Bean, Chilli']
animeVoices	[]
animeStaff	[]
