animeTitle	Kennosuke-sama
animeType	OVA
animeNumEpisode	1
releaseDate	1990-07-07 00:00:00
endDate	
animeNumMembers	
animeScore	5.54
animeUsers	496
animeRank	
animePopularity	10752
animeDescription	"A comedy about a family of old-fashioned samurai living in modern-day Tokyo whose young son has to head out for an important date.

(Source: The Anime Encyclopedia)"
animeRelated	['Toriyama Akira ○-saku Gekijou', 'Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen', 'Pink Mizu Dorobou Ame Dorobou']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
