animeTitle	Softenni
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	7466
animeRank	
animePopularity	3787
animeDescription	"The tennis comedy centers around the members of a female middle school soft tennis team and the twists and turns that their lives take as they aim for the nationals.

(Source: MU)"
animeRelated	['Softenni', 'Softenni Specials']
animeCharacters	['Fuyukawa, Kurusu', 'Harukaze, Asuna', 'Akiyama, Chitose', 'Warren, Elizabeth', 'Sawanatsu, Kotone', 'Mishimagi, You', 'Hiragishi, Yayoi', 'Shidou, Misaki', 'Kiba, Sumino', 'Tsuchida, Shouko']
animeVoices	['Akesaka, Satomi', 'Itou, Kanae', 'Itou, Shizuka', 'Yahagi, Sayuri', 'Kitamura, Eri', 'Matsumoto, Shinobu', 'Tomatsu, Haruka', 'Kotobuki, Minako', 'Inoue, Marina', 'Akutsu, Kana']
animeStaff	[['Nakayama, Nobuhiro', 'Producer'], ['Kamitsubo, Ryouki', 'Director, Series Composition'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Nagasawa, Tsuyoshi', 'Episode Director, Storyboard']]
