animeTitle	"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou"
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	19464
animeRank	
animePopularity	2781
animeDescription	Original 13th episode bundled with the limited edition 7th volume of the Busou Shoujo Machiavellianism manga.
animeRelated	['Busou Shoujo Machiavellianism']
animeCharacters	['Tamaba, Satori', 'Nomura, Fudou', 'Onigawara, Rin', 'Inaba, Tsukuyo', 'Kikakujou, Mary', 'Hanasaka, Warabi', 'Mozunono, Nono', 'Amou, Kirukiru', 'U Baragasaki, Chouka', 'Masukodera, Kusuo']
animeVoices	['Nishida, Nozomi', 'Hatanaka, Tasuku', 'Takada, Yuuki', 'Hioka, Natsumi', 'Kitahara, Sayaka', 'Hidaka, Rina', 'Matsui, Eriko', 'Oota, Tetsuharu']
animeStaff	[['Kurokami, Yuuya', 'Original Creator'], ['Kanzaki, Karuna', 'Original Character Design']]
