animeTitle	Macross Flash Back 2012
animeType	OVA
animeNumEpisode	1
releaseDate	1987-06-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	4007
animeRank	
animePopularity	5741
animeDescription	"Flash Back 2012 is Minmei's farewell concert. Featuring some of her best songs, the music is performed over various scenes and events taken from Macross TV as well as Macross ""Do You Remember Love"". Also included is a newly animated closing sequence showing the launch of Misa's colony vessel, the Megaroad-01, into space.

(Source: ANN)"
animeRelated	['Macross', 'Macross: Do You Remember Love?']
animeCharacters	['Lynn, Minmay', 'Hayase, Misa', 'Ichijou, Hikaru', 'Fallyna, Milia', 'Kridanik, Vrlitwhai', 'La Salle, Claudia', 'Folmo, Exsedol', 'Yoshio', 'Lynn, Paochun', 'Lynn, Shigeyo']
animeVoices	['Iijima, Mari', 'Doi, Mika', 'Hase, Arihiro', 'Takeda, Eri', 'Kanie, Eiji', 'Oobayashi, Ryuusuke']
animeStaff	[['Kawamori, Shouji', 'Director, Mechanical Design'], ['Takayama, Fumihiko', 'Episode Director'], ['Iijima, Mari', 'Theme Song Composition, Theme Song Arrangement, Theme Song Performance, Theme Song Lyrics'], ['Mikimoto, Haruhiko', 'Character Design']]
