animeTitle	b'Light Speed Days'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.34
animeUsers	340
animeRank	
animePopularity	
animeDescription	b'Official music video for the song Light Speed Days by the fictional band Irodorimidori. It is the 35th song in the franchise and focuses on Nagi Kobotoke and Serina Akesaka. '
animeRelated	"[b""Black'n White Jammin' Cats"", b'Fire Me Up']"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
