animeTitle	Chainsaw Bunny
animeType	ONA
animeNumEpisode	1
releaseDate	2018-08-01 00:00:00
endDate	
animeNumMembers	2336
animeScore	4.93
animeUsers	1349
animeRank	11539
animePopularity	9074
animeDescription	"Two bunny girls get in trouble.....
From the creator of CHAINSAW MAID and PUSSYCAT,
another gory horror clay animation comes!!
Never ending splatter carnival has begun!!"
animeRelated	['Chainsaw Maid', 'Chainsaw Bunny: Deleted Scene']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
