animeTitle	Tanken Driland: 1000-nen no Mahou
animeType	TV
animeNumEpisode	51
releaseDate	2013-04-06 00:00:00
endDate	2014-03-29 00:00:00
animeNumMembers	1194
animeScore	6.05
animeUsers	132
animeRank	8421
animePopularity	10704
animeDescription	"1,000 years after Princess Mikoto's era, all hunters have been sealed into cards due to a certain incident in the past. Adventurous boy Hagan becomes the key to freeing these sealed hunters, and travels along with his friends to find these cards, sometimes facing treacherous battles.

(Source: ANN)"
animeRelated	['Tanken Driland']
animeCharacters	['Raichouka, Faylin', 'Kisuikyou, Nagare', 'Gekienken, Kibamaru', 'Hagan', 'Pan', 'Koukikoushin, Dior', 'Moon Angel Clara', 'Haruka']
animeVoices	['Shimamura, Yuu', 'Nojima, Kenji', 'Kumai, Motoko', 'Yamaguchi, Mayumi', 'Ishida, Akira', 'Kouda, Mariko']
animeStaff	[['Kuroda, Narumi', 'Director'], ['Hanae', 'Theme Song Performance'], ['Valshe', 'Theme Song Performance'], ['Watanabe, Koudai', 'Chief Animation Director, Character Design']]
