animeTitle	Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga
animeType	ONA
animeNumEpisode	60
releaseDate	2015-07-08 00:00:00
endDate	2015-09-29 00:00:00
animeNumMembers	
animeScore	6.54
animeUsers	16694
animeRank	
animePopularity	2731
animeDescription	"Anime shorts that offer a secret candid look at the daily lives of Monster Musume. The shorts will update almost every weekday, but each short will be available for 24 hours only. The weekends will have a digest version summarizing the week's videos.

(Source: ANN)"
animeRelated	['Monster Musume no Iru Nichijou']
animeCharacters	['Miia', 'Arachnera, Rachnera', 'Suu', 'Papi', 'Shianus, Centorea', 'Zombina', 'Lorelei, Meroune', 'Lala', 'Tionishia', 'Manako']
animeVoices	['Amamiya, Sora', 'Nakamura, Sakura', 'Nomura, Mayuka', 'Ozawa, Ari', 'Aikawa, Natsuki', 'Mochizuki, Rei', 'Yamazaki, Haruka', 'Kakuma, Ai', 'Kubo, Yurika', 'Asakura, Momo']
animeStaff	[['Inui, Takemaru', 'Original Creator']]
