animeTitle	Himekishi Angelica
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	1459
animeRank	
animePopularity	7375
animeDescription	"Based on the game by Silky's.

A clever and ambitious man is able to take over a kingdom by cunningly forcing his way into the hearts of the Rothschilt family women. One by one he convinces them they can't live without him and makes them into his obedient and willing sex slaves. Now the kingdom is at his mercy and his real revenge can commence. 

(Source: AniDB)"
animeRelated	['Himekishi Olivia']
animeCharacters	['Rothschilt, Angelica', 'Rothschilt, Christina']
animeVoices	['Yoneshima, Nozomi', 'Honma, Yukari']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Shibata, Shirou', 'Animation Director']]
