animeTitle	Kyoro-chan
animeType	TV
animeNumEpisode	91
releaseDate	1999-07-01 00:00:00
endDate	2001-03-29 00:00:00
animeNumMembers	
animeScore	7.25
animeUsers	1055
animeRank	
animePopularity	8973
animeDescription	While exploring ruins on Angel Island, a doctor finds a myserious newborn bird called Kyoro-chan. Together they form a bond and decide to travel the world together. Three years later when the Doctor and Kyoro-chan try to return to Angel Island they become shipwrecked from a storm. Kyoro-chan was able to make it safely to the island but the Doctor was nowhere to be found. Kyoro-chan prays for his safety and hope he returns as he now starts his new life on Angel Island.
animeRelated	['Uchuu Shounen Soran', 'Kyoro-chan no Jishin Youjin Hi no Youjin', 'Kyoro-chan no Koutsuu Anzen']
animeCharacters	['Kyoro-chan', 'Pachikuri', 'Mikken', 'Narrator']
animeVoices	['Itou, Miyako', 'Honda, Takako', 'Mamiya, Kurumi']
animeStaff	[['Kamagata, Eiichi', 'Producer'], ['Hongou, Mitsuru', 'Director'], ['Nanke, Kouji', 'Episode Director'], ['Nanba, Hitoshi', 'Storyboard']]
