animeTitle	Can Can Bunny Extra
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	1031
animeRank	
animePopularity	8166
animeDescription	"Looking at him, he ain't much. But Kenta scores with every girl he meets. Why, Well, he has a love-struck goddess who's decided to help him out. After the celestial sweetie takes a shine to him, she grants him the ability to seduce seven different women to find out which one is his true love, and in the end, it is a big suprise who his actual true love is. 
"
animeRelated	[]
animeCharacters	['Ochiai, Kenta', 'Shirley', 'Mr. President', 'Mr. Sanada', 'Swaty']
animeVoices	['Yamaguchi, Kappei', 'Nishihara, Kumiko', 'Ogata, Kenichi', 'Cho', 'Yajima, Akiko']
animeStaff	[['Oomiya, Saburou', 'Producer'], ['Nishihara, Kumiko', 'Theme Song Performance'], ['Takahashi, Takeo', 'Key Animation'], ['Ledford, John', 'Executive Producer']]
