animeTitle	Digimon Tamers: Boukensha-tachi no Tatakai
animeType	Movie
animeNumEpisode	1
releaseDate	2001-07-14 00:00:00
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	9783
animeRank	
animePopularity	4009
animeDescription	"Takato and Guilmon go on vacation to Okinawa and meet a fellow tamer, Minami. Back in Japan, a popular computer pet suddenly becomes a virus, infecting all of the computers who have it. As the virus spreads, Takato tries to figure out why digimon are all attacking his new friend, and what her connection is to the virus.

(Source: ANN)"
animeRelated	['Digimon Tamers']
animeCharacters	['Makino, Ruki', 'Renamon', 'Terriermon', 'Guilmon', 'Matsuda, Takato', 'Li, Jianliang', 'Culumon', 'Uehara, Minami', 'Omegamon', 'Katou, Juri']
animeVoices	['Orikasa, Fumiko', 'Imai, Yuka', 'Tada, Aoi', 'Nozawa, Masako', 'Tsumura, Makoto', 'Yamaguchi, Mayumi', 'Kaneda, Tomoko', 'Mitsuishi, Kotono', 'Asada, Yoko']
animeStaff	[['Imazawa, Tetsuo', 'Director'], ['McGlynn, Mary Elizabeth', 'ADR Director'], ['Shida, Naotoshi', 'Assistant Animation Director'], ['Hongou, Akiyoshi', 'Original Creator']]
