animeTitle	Tsuki
animeType	Music
animeNumEpisode	1
releaseDate	2006-10-02 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17543
animeDescription	Music video for the song Tsuki by YOU ni Mitsuru, a collaborative group formed by YOU (Yukiko Ehara) and Mitsuru Kuramoto in 2006, that was featured on NHK's Minna no Uta program. That same month, the video was released on a two-disc DVD produced by Pony Canyon under the same name, along with the full-length version of the song, lyric videos, and other supplemental information.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
