animeTitle	Tegamibachi: Hikari to Ao no Gensou Yawa
animeType	Special
animeNumEpisode	1
releaseDate	2008-11-24 00:00:00
endDate	
animeNumMembers	13661
animeScore	7.46
animeUsers	6210
animeRank	1767
animePopularity	4674
animeDescription	"The story takes place in the land of Amber Ground, a place of perpetual night only partially illuminated by an artificial sun. Lag Seeing works as a ""Letter Bee"" (delivery boy) at the ""Bee Hive"" (a delivery service), with his Dingo, Niche, and her ""pet,"" Steak, traveling with him. He is entrusted with the ""hearts"" of the everyone in Amber Ground to deliver their packages.

(Source: Wikipedia)"
animeRelated	['Tegamibachi']
animeCharacters	['Seeing, Lag', 'Niche', 'Steak', 'Suede, Gauche', 'Roda', 'Link, Aria', 'Lloyd, Largo', 'Darwin', 'Signal', 'Blanc, Elena']
animeVoices	['Sawashiro, Miyuki', 'Fujimura, Ayumi', 'Nagasawa, Nao', 'Fukuyama, Jun', 'Koshimizu, Ami', 'Konishi, Katsuyuki', 'Oguro, Kazuhiro', 'Kobayashi, Yuu']
animeStaff	[['Kanbe, Mamoru', 'Director'], ['Shimizu, Katsunori', 'Sound Director'], ['Asada, Hiroyuki', 'Original Creator'], ['Kunihiko, Ryo', 'Music']]
