animeTitle	Yuukan Club
animeType	OVA
animeNumEpisode	2
releaseDate	1991-07-25 00:00:00
endDate	1991-12-14 00:00:00
animeNumMembers	
animeScore	5.87
animeUsers	262
animeRank	
animePopularity	11519
animeDescription	St. President school is one of the most wealthy schools around. Everybody in that school respects the Yukan club, the most popular and richest group in the school. This includes Shouchikubai Miroku, Kenbishi Yuuri, Kikumasamune Seishirou, Hakushika Noriko and Kizakura Karen. They go through dangerous adventures to save their school, and of course, just to kill their spare time.
animeRelated	['Yuukan Club']
animeCharacters	['Kikumasamune, Seishirou', 'Kizakura, Karen', 'Hakushika, Noriko', 'Granmarie, Bidou', 'Shochikubai, Miroku', 'Kenbishi, Yuuri', 'Shochikubai, Tokimune', 'Buddihst Priest', 'Brother', 'Godai']
animeVoices	['Tsujitani, Kouji', 'Tominaga, Miina', 'Hidaka, Noriko', 'Koyasu, Takehito', 'Seki, Toshihiko', 'Katsuki, Masako', 'Oobayashi, Ryuusuke', 'Miyauchi, Kouhei', 'Nanba, Keiichi', 'Maruyama, Eiji']
animeStaff	[['Ichijo, Yukari', 'Original Creator'], ['Takahashi, Hideki', 'Mechanical Design'], ['Tanimura, Shinichi', 'Art Director'], ['Kobayashi, Yukari', 'Character Design, Animation Director']]
