animeTitle	b'Ginga Eiyuu Densetsu'
animeType	b'OVA'
animeNumEpisode	110
releaseDate	
endDate	
animeNumMembers	
animeScore	9.04
animeUsers	58459
animeRank	
animePopularity	
animeDescription	"b""The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.\n\nWhile Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang\xe2\x80\x94a strong supporter of democratic ideals\xe2\x80\x94has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.\n\nAs ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Ginga Eiyuu Densetsu', b'Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture', b'Ginga Eiyuu Densetsu Gaiden', b'Ginga Eiyuu Densetsu Gaiden (1999)', b'Ginga Eiyuu Densetsu: Die Neue These - Kaikou', b'Ginga Eiyuu Densetsu: Die Neue These - Seiran 1', b'Ginga Eiyuu Densetsu: Die Neue These - Seiran 2', b'Ginga Eiyuu Densetsu: Die Neue These - Seiran 3', b'Ginga Eiyuu Densetsu: Die Neue These - Gaikotsu']
animeCharacters	[b'Yang, Wen-li', b'von Lohengramm, Reinhard', b'von Reuenthal, Oskar', b'von Oberstein, Paul', b'Kircheis, Siegfried', b'von Sch\xc3\xb6nkopf, Walter', b'Mittermeyer, Wolfgang', b'Minci, Julian', b'von Mariendorf, Hildegard', b'Attenborough, Dusty']
animeVoices	[b'\nTomiyama, Kei\nJapanese\n', b'\nHorikawa, Ryo\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n', b'\nShiozawa, Kaneto\nJapanese\n', b'\nHironaka, Masashi\nJapanese\n', b'\nHazama, Michio\nJapanese\n', b'\nMori, Katsuji\nJapanese\n', b'\nSasaki, Nozomu\nJapanese\n', b'\nKatsuki, Masako\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshiguro, Noboru\n\nDirector, Episode Director, Storyboard\n\n', b'\nAketagawa, Susumu\n\nSound Director\n\n', b'\nMotonaga, Keitarou\n\nEpisode Director, Storyboard\n\n', b'\nImaizumi, Kenichi\n\nEpisode Director, Animation Director, In-Between Animation, Key Animation\n\n']
