animeTitle	b'Housenka'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Photographs of the artist\xe2\x80\x99s grandmother are superimposed with animation that traces her life, and the work ends with the memorial photograph displayed at her funeral. A sense of tranquility pervades this documentary animation work.\n\n(Source: Collaborative Cataloging Japan)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
