animeTitle	Maria-sama ga Miteru
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.32
animeUsers	18229
animeRank	
animePopularity	2294
animeDescription	"When Yumi Fukuzawa entered the Lillian Girls' Academy, a prestigious all-girls Catholic school in Tokyo, she never imagined she would catch the eye of beautiful and demure Sachiko Ogasawara, one of the school's most popular students. Now Sachiko has offered to be Yumi's soeur, her ""sister"" and guide for all her years at the academy. The whole idea has Yumi completely flustered—after all, they hardly know each other!

The entire campus is abuzz with rumors about the two of them, but Yumi is conflicted over accepting Sachiko's offer. While she admires Sachiko, being her soeur would also mean constantly being at the center of the entire school's attention!

(Source: RightStuf)"
animeRelated	['Maria-sama ga Miteru', 'Maria-sama ga Miteru: Haru', 'Maria-sama ga Miteru Specials']
animeCharacters	['Satou, Sei', 'Ogasawara, Sachiko', 'Fukuzawa, Yumi', 'Toudou, Shimako', 'Shimazu, Yoshino', 'Mizuno, Youko', 'Hasekura, Rei', 'Torii, Eriko', 'Kanina, Shizuka', 'Fukuzawa, Yuuki']
animeVoices	['Toyoguchi, Megumi', 'Itou, Miki', 'Ueda, Kana', 'Noto, Mamiko', 'Ikezawa, Haruna', 'Shinohara, Emi', 'Itou, Shizuka', 'Nabatame, Hitomi', 'rino', 'Ichiki, Mitsuhiro']
animeStaff	[['Matsushita, Yukihiro', 'Director, Episode Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Yoshida, Shunji', 'Episode Director'], ['Sokuza, Makoto', 'Episode Director']]
