animeTitle	JK Bitch ni Shiboraretai
animeType	OVA
animeNumEpisode	2
releaseDate	2016-08-19 00:00:00
endDate	2016-09-16 00:00:00
animeNumMembers	
animeScore	7.21
animeUsers	10353
animeRank	
animePopularity	3792
animeDescription	An original OVA that follows the sexual escapades of a high school boy.
animeRelated	['Imouto Bitch ni Shiboraretai', 'J* Fuuzoku Gakuensai']
animeCharacters	['Yariko', 'Bitchko', 'Kuroko', 'Bakako', 'Yuruko']
animeVoices	[]
animeStaff	[['Raika, Ken', 'Director']]
