animeTitle	Kemono Friends
animeType	TV
animeNumEpisode	12
releaseDate	2017-01-11 00:00:00
endDate	2017-03-29 00:00:00
animeNumMembers	
animeScore	7.55
animeUsers	27377
animeRank	
animePopularity	1994
animeDescription	"Japari Park is an untamed paradise where many humanoid animals, known as ""Friends,"" live their everyday lives in all corners of the natural environmental park.

One lazy afternoon in the savannah area, the energetic Serval encounters a peculiar new Friend. Curious, she swiftly takes down the Friend, named Kaban, to try and discover what species she is. To Serval's disappointment, not even Kaban herself knows the answer.

The two become friends and set out on a grand adventure through the many habitats, landmarks, and attractions of Japari Park. Their destination is the park library, where they hope to shed some light on Kaban’s identity. Along the way, they meet many other Friends, looking into their lives and helping them out. However, they soon begin to uncover the sinister reality behind the park and their own existence.

[Written by MAL Rewrite]"
animeRelated	['Kemono Friends: Youkoso Japari Park e!', 'Kemono Friends 2', 'Kemono Friends: Bus-teki', 'Uma no Friends', 'Anisama', 'Nissin no Donbei x Kemono Friends', 'Youkoso Japari Park', 'Chokotto Anime Kemono Friends 3']
animeCharacters	['Serval', 'Kaban', 'Lucky Beast', 'Hashibirokou', 'Tsuchinoko', 'Toki', 'Araiguma', 'Tairikuookami', 'Fennec', 'Kitakitsune']
animeVoices	['Ozaki, Yuka', 'Uchida, Aya', 'Komori, Misae', 'Kobayashi, Yuu', 'Kaneda, Tomoko', 'Ono, Saki', 'Itou, Kanae', 'Motomiya, Kana', 'Mimori, Suzuko']
animeStaff	[['Hosoya, Nobuyuki', 'Producer'], ['Tatsuki', 'Director, Episode Director, Storyboard'], ['Abe, Nobuyuki', 'Sound Director'], ['Tanabe, Shigenori', 'Script']]
