animeTitle	b'Mikeneko Holmes no Yuurei Joushu'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.9
animeUsers	173
animeRank	
animePopularity	
animeDescription	"b""Based on Akagawa Jirou's popular book series about hapless detective Katayama Yoshitaro who lives with his sister Harumi and their cat Holmes, which has a sixth sense when it comes to solve mysteries. \n\nIn this stand alone OVA the aftershow party of Harumi's acting troupe becomes the showplace of murder and tragedy. Luckily Yoshitaro brought Holmes along. \n\n(Source: AniDB) """
animeRelated	[]
animeCharacters	[b'Katayama, Yoshitarou', b'Detective Ishizu', b'Coroner Minamida', b'Policeman Kurihara', b'Yasaka, Seiichi', b'Yasaka, Yukari', b'Mizuta, Mako', b'Katayama, Harumi', b'Udagawa, Kazuto']
animeVoices	[b'\nSeki, Toshihiko\nJapanese\n', b'\nEbara, Masashi\nJapanese\n', b'\nYagi, Kousei\nJapanese\n', b'\nHarada, Kazuo\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nDoi, Mika\nJapanese\n', b'\nAdachi, Shinobu\nJapanese\n', b'\nHidaka, Noriko\nJapanese\n', b'\nNakamura, Daiki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nHiramatsu, Eri\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Performance\n\n', b'\nKamiyama, Kenji\n\nArt Director\n\n', b'\nAbe, Misao\n\nIn-Between Animation\n\n']
