animeTitle	b'Amaenaide yo!! Katsu!!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	24312
animeRank	
animePopularity	
animeDescription	b'In this sequel, a girl named Kazusano Kazuki joins up with the 6 girls and Ikko. With Kazuki around, Ikko will find himself in more embarrassing situations with these priestesses-in-training.\n\n(Source: ANN)'
animeRelated	[b'Amaenaide yo!!', b'Amaenaide yo!! Katsu!!: Damasarenaide yo!!']
animeCharacters	[b'Nanbu, Chitose', b'Kazusano, Kazuki', b'Satonaka, Ikkou', b'Sugai, Hinata', b'Amanogawa, Haruka', b'Atouda, Yuuko', b'Ikuina, Sumi', b'Amanogawa, Miyako', b'Sugai, Sakura', b'Yanagi']
animeVoices	[b'\nNakahara, Mai\nJapanese\n', b'\nSanada, Asami\nJapanese\n', b'\nSuzuki, Chihiro\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n', b'\nWatanabe, Akeno\nJapanese\n', b'\nHiguchi, Chieko\nJapanese\n', b'\nKawakami, Tomoko\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nNanao, Haruhi\nJapanese\n', b'\nHatano, Wataru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMotonaga, Keitarou\n\nDirector\n\n', b'\nSokuza, Makoto\n\nEpisode Director, Storyboard\n\n', b'\nIshikura, Kenichi\n\nEpisode Director\n\n', b'\nUezu, Makoto\n\nScript, Series Composition\n\n']
