animeTitle	b'Shikiyoku Infinite'
animeType	b'OVA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	1707
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Shikiyoku Infinite']
animeCharacters	[b'Souma, Mitsuko', b'Souma, Kurumi', b'Souma, Sayoko', b'Souma, Reiko']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMizuryu, Kei\n\nOriginal Creator\n\n', b'\nKasumi, Kyouka\n\nDirector of Photography\n\n', b'\nHirayama, Shinobu\n\nColor Design\n\n']
