animeTitle	Gongitsune
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	208
animeRank	
animePopularity	11340
animeDescription	"Gongitsune is a famous Japanese children's story about the life of a little fox called Gon. The story is considered the masterpiece of Nankichi Niimi, also sometimes known as the Hans Christian Andersen of Japan.

Gon is a little fox. Looking for food he comes to a little village where he repeatedly steals food and creates other mischief, constantly evading the angry villagers. 

(Source: AniDB)"
animeRelated	['Gon Movie: Gon, the Little Fox']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
