animeTitle	Utawarerumono OVA
animeType	OVA
animeNumEpisode	3
releaseDate	2009-06-05 00:00:00
endDate	2010-06-23 00:00:00
animeNumMembers	19101
animeScore	7.21
animeUsers	8510
animeRank	2827
animePopularity	4071
animeDescription	"A three part OVA of Utawarerumono. The animation work will be done by the same staff that did the opening of the game the show was based on. The story will cover parts that weren't shown in the anime series. 

(Source: Moon Phase)"
animeRelated	['Utawarerumono', 'Utawarerumono OVA Picture Drama']
animeCharacters	['Karura', 'Touka', 'Eruruu', 'Hakuoro', 'Aruruu', 'Urtori', 'Benawi', 'Oboro', 'Kamyu', 'Mukkuru']
animeVoices	['Tanaka, Atsuko', 'Miyake, Kaya', 'Yuzuki, Ryouka', 'Koyama, Rikiya', 'Sawashiro, Miyuki', 'Ohara, Sayaka', 'Namikawa, Daisuke', 'Kirii, Daisuke', 'Kugimiya, Rie', 'Shimoyama, Yoshimitsu']
animeStaff	[['Iwasa, Gaku', 'Producer'], ['Chung, Jin Ho', 'Producer'], ['Katsura, Kenichiro', 'Director, Episode Director, Storyboard, Key Animation, Animation Director, Character Design'], ['Hamano, Takatoshi', 'Sound Director']]
