animeTitle	Shampoo Ouji
animeType	TV
animeNumEpisode	12
releaseDate	2007-10-01 00:00:00
endDate	2007-12-17 00:00:00
animeNumMembers	130
animeScore	
animeUsers	
animeRank	13172
animePopularity	17333
animeDescription	Prince Shampoo lives in the clean and shiny Bubble Kingdom. He's bored with his life and decides to jump out of the protective dome and explore the dirty things of the outer world. Here he encounters various people and understands what dirty and cleanliness really mean in the world.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
