animeTitle	The Disappearance of Conan Edogawa: The Worst Two Days in History
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.77
animeUsers	5583
animeRank	
animePopularity	5112
animeDescription	"The anime special celebrates the 20th anniversary of Gosho Aoyama's original manga, and it recounts a previously untold story from Conan's past.

(Source: ANN)"
animeRelated	['Detective Conan']
animeCharacters	['Edogawa, Conan', 'Haibara, Ai', 'Mouri, Ran', 'Mouri, Kogorou', 'Agasa, Hiroshi', 'Yoshida, Ayumi', 'Tsuburaya, Mitsuhiko', 'Kojima, Genta', 'Kanae', 'Kondou']
animeVoices	['Takayama, Minami', 'Hayashibara, Megumi', 'Yamazaki, Wakana', 'Koyama, Rikiya', 'Ogata, Kenichi', 'Iwai, Yukiko', 'Ootani, Ikue', 'Takagi, Wataru', 'Hirosue, Ryoko', 'Kagawa, Teruyuki']
animeStaff	[['Yamamoto, Yasuichiro', 'Director'], ['Urakami, Keiko', 'Sound Director'], ['Uchida, Kenji', 'Script'], ['Kuraki, Mai', 'Theme Song Lyrics, Theme Song Performance']]
