animeTitle	b'Bungou Stray Dogs 2nd Season'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.2
animeUsers	351369
animeRank	
animePopularity	
animeDescription	"b""Despite their differences in position, three men\xe2\x80\x94the youngest senior executive of the Port Mafia, Osamu Dazai; the lowest ranking member, Sakunosuke Oda; and the intelligence agent, Angou Sakaguchi\xe2\x80\x94gather at the Lupin Bar at the end of the day to relax and take delight in the company of friends.\n\nHowever, one night, Ango disappears. A photograph taken at the bar is all that is left of the three together.\n\nFast forward to the present, and Dazai is now a member of the Armed Detective Agency. The Guild, an American gifted organization, has entered the fray and is intent on taking the Agency's work permit. They must now divide their attention between the two groups, the Guild and the Port Mafia, who oppose their very existence.   \n\n[Written by MAL Rewrite]"""
animeRelated	[b'Bungou Stray Dogs', b'Bungou Stray Dogs: Hitori Ayumu', b'Bungou Stray Dogs 3rd Season', b'Bungou Stray Dogs: Dead Apple']
animeCharacters	[b'Dazai, Osamu', b'Nakajima, Atsushi', b'Nakahara, Chuuya', b'Edogawa, Ranpo', b'Akutagawa, Ryuunosuke', b'Oda, Sakunosuke', b'Izumi, Kyouka', b'Yosano, Akiko', b'Dostoyevsky, Fyodor', b'Kunikida, Doppo']
animeVoices	[b'\nMiyano, Mamoru\nJapanese\n', b'\nUemura, Yuuto\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nOno, Kensho\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nMorohoshi, Sumire\nJapanese\n', b'\nShimamura, Yuu\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIgarashi, Takuya\n\nDirector\n\n', b'\nWakabayashi, Kazuhiro\n\nSound Director\n\n', b'\nFukuda, Michio\n\nStoryboard\n\n', b'\nLuck Life\n\nTheme Song Performance\n\n']
