animeTitle	Jurassic!
animeType	ONA
animeNumEpisode	1
releaseDate	2019-08-24 00:00:00
endDate	
animeNumMembers	1684
animeScore	6.27
animeUsers	734
animeRank	7355
animePopularity	9889
animeDescription	"Toei Animation announced a new short anime on Friday titled ""Jurassic!"" that will debut streaming on YouTube in mid-August. Most of the staff for the anime are comprised of the younger staff at Toei Animation. The anime is also the first in a series of new projects for the studio featuring the younger staff. The Real-Size Koseibutsu Zukan (Real-Size Extinct Creatures Picture Book) book by Ken Tsuchiya is inspiring the anime, and Tsuchiya is serving as the anime's ""extinct creatures supervisor."" 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
