animeTitle	Uma no Friends
animeType	ONA
animeNumEpisode	1
releaseDate	2017-08-08 00:00:00
endDate	
animeNumMembers	3792
animeScore	6.26
animeUsers	1421
animeRank	7413
animePopularity	7780
animeDescription	An anime collaboration between Kemono Friends and the Japan Racing Association. 
animeRelated	['Kemono Friends']
animeCharacters	['Serval', 'Kaban', 'Seal brown horse', 'Chestnut horse', 'White horse']
animeVoices	['Ozaki, Yuka', 'Uchida, Aya', 'Kuwashima, Houko', 'Takatsuki, Kanako', 'Okutani, Kaede']
animeStaff	[['Tatsuki', 'Director'], ['Abe, Nobuyuki', 'Sound Director'], ['Tateyama, Akiyuki', 'Music'], ['Kazama, Yuka', 'Sound Effects']]
