animeTitle	Tobe! Pegasus Kokoro no Goal ni Shoot
animeType	Movie
animeNumEpisode	1
releaseDate	1995-06-03 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15670
animeDescription	"The movie is about the soccer team Pegasus created from the visually impaired children studying in the Chiba Prefectural School for the Blind.

(Source: allcinema)"
animeRelated	[]
animeCharacters	['Shinoda', 'Tsubasa', 'Ramos', 'Masashi', 'Naoki', 'Hideo', 'Kazuhiro']
animeVoices	['Hori, Hideyuki', 'Hibino, Akari', 'Hirano, Masato', 'Takano, Urara', 'Ishimura, Tomoko', 'Iwatsubo, Rie', 'Okano, Kousuke']
animeStaff	[['Okuda, Seiji', 'Director'], ['Sokuza, Makoto', 'Episode Director'], ['Kodama, Kenji', 'Storyboard'], ['Miyamae, Mitsuharu', 'Art Director']]
