animeTitle	Otome Nadeshiko Koi Techou
animeType	OVA
animeNumEpisode	1
releaseDate	2012-01-26 00:00:00
endDate	
animeNumMembers	4786
animeScore	5.91
animeUsers	2359
animeRank	8990
animePopularity	7115
animeDescription	"The story follows a 16-year-old girl who is experiencing her first love during Japan's Taishou period (1912-1926).
Bundled with special versions of Otome Nadeshiko Love Diary 2 light novel.

(Source: ANN)"
animeRelated	['Otome Nadeshiko Koi Techou']
animeCharacters	['Touguu, Chizuru', 'Suzumoto, Sougetsu']
animeVoices	['Kawase, Akiko']
animeStaff	[['Sanpei, Hijiri', 'Director'], ['Koumura, Junko', 'Script'], ['Touma, Rei', 'Original Character Design'], ['Arai, Kazuhiro', 'Art Director']]
