animeTitle	Corocoro Coronya
animeType	ONA
animeNumEpisode	13
releaseDate	2019-11-03 00:00:00
endDate	2020-01-26 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17703
animeDescription	Corocoro Coronya is a cat who loves to roll (corocoro) and spends a lot of his time in a cornet. San-X released this character with goods, LINE stickers, and merchandise in 2017 though its public debut was in 2016. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
