animeTitle	Koakuma Kanojo The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	8348
animeRank	
animePopularity	4006
animeDescription	"It is rumored that a mysterious DVD exists and whoever dares to watch it gets cursed.

The first story centers around Akuno Mika who is in love with Kazuya, a schoolmate. But it seems she is too shy to confess to him. But what happens when she is cursed into a horny demon by the rumored DVD?

The second story is about Kana, who is watching the rumored DVD in request of her scared classmates. But she and her curious little sister Mai have to realize that the rumors are actually true!

(Source: Hentaitake.net, edited)"
animeRelated	['Koakuma Kanojo']
animeCharacters	['Akuno, Mika', 'Kana', 'Mai', 'Elena', 'Hibiki']
animeVoices	['Ogura, Yui']
animeStaff	[['Tatsumi', 'Director, Storyboard, Chief Animation Director, Character Design'], ['Sawayama, Shinichiro', 'Script'], ['Hisasi', 'Original Creator']]
