animeTitle	Toaru Majutsu no Index III
animeType	TV
animeNumEpisode	26
releaseDate	2018-10-05 00:00:00
endDate	2019-04-05 00:00:00
animeNumMembers	204726
animeScore	6.79
animeUsers	74572
animeRank	4654
animePopularity	874
animeDescription	"Touma Kamijou can't catch a break. After the invasion of Academy City, political tensions continue to rise as both the science and magic factions collide head on. It appears that Academy City intends to declare war against the Roman Catholic Church, consequently plunging the whole world into global warfare. Touma soon finds himself on the front lines once again, striving to protect his friends and allies.

Toaru Majutsu no Index III serves as the last installment of the original franchise as Touma, Accelerator, and the true Level 0 Shiage Hamazura continue their separate journeys, leading up to the final act of the original light novel series.

[Written by MAL Rewrite]"
animeRelated	['Toaru Majutsu no Index', 'Toaru Majutsu no Index II', 'Toaru Majutsu no Index-tan III']
animeCharacters	['Accelerator', 'Kamijou, Touma', 'Hamazura, Shiage', 'Misaka, Mikoto', 'Shirai, Kuroko', 'Last Order', 'Index Librorum Prohibitorum', 'Kanzaki, Kaori', 'Uiharu, Kazari', 'Tsuchimikado, Motoharu']
animeVoices	['Okamoto, Nobuhiko', 'Abe, Atsushi', 'Hino, Satoshi', 'Satou, Rina', 'Arai, Satomi', 'Hidaka, Rina', 'Iguchi, Yuka', 'Itou, Shizuka', 'Toyosaki, Aki', 'Katsu, Anri']
animeStaff	[['Nishikiori, Hiroshi', 'Director'], ['Yamaguchi, Takayuki', 'Sound Director'], ['Iguchi, Yuka', 'Theme Song Performance'], ['Kawada, Mami', 'Theme Song Lyrics']]
