animeTitle	Beyblade Burst God
animeType	TV
animeNumEpisode	51
releaseDate	2017-04-03 00:00:00
endDate	2018-03-26 00:00:00
animeNumMembers	11611
animeScore	6.83
animeUsers	6013
animeRank	4485
animePopularity	5037
animeDescription	"Valt Aoi, who participated in the Japanese Championship, was scouted for the prestigious Spanish team BC Sol and heads out to Spain. With their sights set on the world, Valt and his friends begin their challenge for the World League! However, in order to qualify for the World League, they must first win the European League. Will Valt be able to take BC Sol to the World League? And can he defeat the world's strongest Bladers?

(Source: Beyblade Fandom Wiki)"
animeRelated	['Beyblade Burst', 'Beyblade Burst Chouzetsu']
animeCharacters	['Kurenai, Shuu', 'Aoi, Valt', 'Carlisle, Sisco', 'Ackerman, Kuza', 'De La Hoya, Free', 'Shirasagijou, Lui', 'Kiyama, Rantarou', 'Komurasaki, Wakiya', 'Kurogami, Daina', 'Midorikawa, Kensuke']
animeVoices	['Enoki, Junya', 'Inoue, Marina', 'Terashima, Takuma', 'Takeuchi, Junko', 'Shiraishi, Ryouko', 'Okabayashi, Fumihiro', 'Kobayashi, Yuu', 'Takagaki, Ayahi', 'Yonaga, Tsubasa']
animeStaff	[['Akiyama, Katsuhito', 'Director'], ['Yamaguchi, Kentarou', 'Director'], ['Matsuoka, Hiroki', 'Sound Director'], ['Kawagoe, Kazuki', 'Episode Director, Storyboard']]
