animeTitle	Wangu Xian Qiong
animeType	ONA
animeNumEpisode	12
releaseDate	2017-05-18 00:00:00
endDate	2017-07-27 00:00:00
animeNumMembers	4416
animeScore	6.97
animeUsers	1138
animeRank	3894
animePopularity	7390
animeDescription	"Heavenly Dao is eternal, however life is limited, making heaven and earth pieces of a chessboard.

Gu Hai from the 21st century was taken onto another world. Gu Hai became a formidable opponent in the area of trade. In the times of war, he comes up with strategies for the Chen Empire against the Song Empire.

A fairy from heaven became interested in him and gave him a mission to complete on his journey. However this may bring turmoil and chaos upon the world. "
animeRelated	['Wangu Xian Qiong II']
animeCharacters	['Smith, Will', 'Hai, Gu', 'Feng, Yang', 'Meng, Tai', 'Nian, Liu', 'Xian Zhi, Gao', 'Rou, Xiao', 'Wan Qing, Long']
animeVoices	[]
animeStaff	[]
