animeTitle	b'Puchi Pri*Yucie'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.42
animeUsers	5091
animeRank	
animePopularity	
animeDescription	"b'Despite recently turning 17, the otherwise ordinary Yucie still has the body of a child. Having stopped growing past the age of 10, Yucie yearns to fully mature into an adult body. One day, she is chosen as a candidate for the title of ""Platinum Princess,"" given once in a thousand years to whoever is worthy of the Eternal Tiara\xe2\x80\x94a mysterious crown said to grant any wish. She\'s not alone either, as four other candidates also compete to have their own wishes granted by the crown.\n\nAs a result, Yucie enrolls at the nearby Princess Academy in order to grow her heart and work towards becoming qualified for the Eternal Tiara. With her family, rivals, and even the principal of the academy there to lend a hand, will Yucie\'s much-desired wish finally come true?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Puchi Puri Yuushi']
animeCharacters	[b'Yucie', b'Glenda', b'Elmina', b'Beth', b'Kokoru', b'Cube', b'Prince Arrow', b'Gaga', b'Queen Ercell', b'Selent, Maga']
animeVoices	[b'\nYamamoto, Maria\nJapanese\n', b'\nMatsuoka, Yuki\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n', b'\nFukui, Yukari\nJapanese\n', b'\nSaeki, Tomo\nJapanese\n', b'\nYamaguchi, Takayuki\nJapanese\n', b'\nIshii, Kouji\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nYokoyama, Chisa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOotsuka, Masahiko\n\nDirector, Episode Director\n\n', b'\nAkiyama, Katsuhito\n\nEpisode Director, Storyboard\n\n', b'\nAoshima, Takashi\n\nScript\n\n', b'\nYamada, Yasunori\n\nScript\n\n']
