animeTitle	b'Seishun Midnight Runners: Shiosai'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	105
animeRank	
animePopularity	
animeDescription	"b""Music video for Seishun Midnight Runners's (\xe9\x9d\x92\xe6\x98\xa5\xe3\x83\x9f\xe3\x83\x83\xe3\x83\x89\xe3\x83\x8a\xe3\x82\xa4\xe3\x83\x88\xe3\x83\xa9\xe3\x83\xb3\xe3\x83\x8a\xe3\x83\xbc\xe3\x82\xba) song Shiosai (\xe6\xbd\xae\xe9\xa8\x92). Uses stop-motion pasta characters."""
animeRelated	[b'Buonomo']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
