animeTitle	Etotama Specials
animeType	Special
animeNumEpisode	6
releaseDate	2015-05-13 00:00:00
endDate	2015-07-01 00:00:00
animeNumMembers	
animeScore	6.5
animeUsers	3038
animeRank	
animePopularity	5980
animeDescription	Unaired short specials included in the second through fifth Blu-ray and DVD volumes Etotama.
animeRelated	['Etotama']
animeCharacters	['Nyaa-tan', 'Uri-tan', 'Amato, Takeru', 'Moo-tan', 'Piyo-tan', 'Chuu-tan', 'Shaa-tan', 'Mei-tan', 'Kii-tan', 'Inu-tan']
animeVoices	['Murakawa, Rie', 'Hanamori, Yumiri', 'Shimono, Hiro', 'Matsui, Eriko', 'Sasaki, Mikoi', 'Ohara, Sayaka', 'Nabatame, Hitomi', 'Fuchigami, Mai', 'Toda, Megumi', 'Honda, Mariko']
animeStaff	[]
