animeTitle	Nurarihyon no Mago OVA
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.71
animeUsers	9615
animeRank	
animePopularity	3781
animeDescription	"The story begins at about 100 years after the disappearance of Otome Yamabuki, Rihan Nura's first wife. Rihan has finally pulled himself together and his life returns to normal. As the head of the Nura Clan, he's busy working on building a harmonious world for humans and youkais. One day, he sees Setsura being upset so he decides to cheer her up by taking the clan to go enjoy the hot spring where Setsura makes up her mind to tell Rihan that she met Otome once after she left him about 100 years ago. She tells him the message that Otome left for him and the truth is...? 

(Source: Mangahere.com) "
animeRelated	['Nurarihyon no Mago: Sennen Makyou']
animeCharacters	['Nura, Rihan', 'Nurarihyon', 'Nura, Rikuo', 'Oikawa, Tsurara', 'Kubinashi', 'Kurotabou', 'Yamabuki Otome', 'Oikawa, Setsura', 'Kejourou', 'Natto Kozou']
animeVoices	['Fujiwara, Keiji', 'Yusa, Kouji', 'Fukuyama, Jun', 'Horie, Yui', 'Toriumi, Kousuke', 'Noto, Mamiko', 'Arai, Satomi']
animeStaff	[['LM.C', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement'], ['Tanaka, Kouhei', 'Music'], ['Shiibashi, Hiroshi', 'Original Creator'], ['Inai, Keiji', 'Music']]
