animeTitle	b'Ninja Collection'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	3.78
animeUsers	3033
animeRank	
animePopularity	
animeDescription	"b'Set in modern-day Tokyo where dreams and desires are afloat, a group of ninjas called ""Toukeshuu"" is set to stop the spread of ""darkness"" that prevails in the world using ancient techniques passed down through generations.\n\n(Source: MAL News)'"
animeRelated	[b'Yami Shibai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
