animeTitle	b'Gaist Crusher'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	254
animeRank	
animePopularity	
animeDescription	"b'In the year 2047, mankind discovered a rare metal ore called ""Gaimetal"", which possessed a huge amount of energy, and mining for these strange metal ore begins all over the world. However, in 2075, humankind were been constantly attacked by Gaist, a race of metallic creatures whose bodies were encrusted with Gaimetal, thus forming the GCG (also known as ""Gaist Crusher Garrison""), an organization tasked with dealing against the Gaist. In 2064, the GCG send out mankind\'s line of defense: the Gaist Crushers, humans who can wear a special Gaimetal armor called ""Gaist Gear"", and battle the Gaist,as well as the threat opposed by a mysterious organization called ""Erasers"".\n\n(Source: Wikipedia)'"
animeRelated	[]
animeCharacters	[b'Shirogane, Rekka', b'Kokuyou, Izuna', b'Shindou, Kurama', b'Volcan, Rock', b'Sakura, Sango', b'Kongouji, Hayato', b'Quartzheart, Shiren', b'Hisui, Midori', b'Cypher', b'Hotaru, Luminella']
animeVoices	[b'\nYamashita, Daiki\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nTakase, Yasuyuki\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nTaneda, Risa\nJapanese\n', b'\nIguchi, Yuuichi\nJapanese\n', b'\nFurukawa, Makoto\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShimada, Souichi\n\nEpisode Director, Storyboard\n\n', b'\nSuzuki, Yoshio\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nNishikata, Yasuto\n\nEpisode Director\n\n', b'\nTanaka, Kouhei\n\nTheme Song Composition, Music\n\n']
