animeTitle	Saiyuuki Reload Blast
animeType	TV
animeNumEpisode	12
releaseDate	2017-07-05 00:00:00
endDate	2017-09-20 00:00:00
animeNumMembers	35547
animeScore	7.21
animeUsers	9907
animeRank	2814
animePopularity	3011
animeDescription	"At last, the Sanzou Party has arrived in India. In this foreign land, where the anomaly's influence runs rampant, their battles only heighten in their violence.

And also awaiting them is their tragic fate from 500 years ago—

What will they find at the end of their long and treacherous journey?"
animeRelated	['Saiyuuki Reload Blast', 'Saiyuuki Reload Gunlock', 'Saiyuuki Reload: Zeroin']
animeCharacters	['Genjou, Sanzou', 'Son, Gokuu', 'Cho, Hakkai', 'Sha, Gojou', 'Kougaiji', 'Gensui, Tenpou', 'Douji, Konzen', 'Taishou, Kenren', 'Jeep', 'Taishi, Nataku']
animeVoices	['Seki, Toshihiko', 'Hoshi, Souichirou', 'Ishida, Akira', 'Hirata, Hiroaki', 'Kusao, Takeshi', 'Kouda, Kaho']
animeStaff	[['Nakano, Hideaki', 'Director'], ['Takakuwa, Hajime', 'Sound Director'], ['Tokumoto, Yoshinobu', 'Episode Director, Storyboard'], ['GRANRODEO', 'Theme Song Performance, Theme Song Composition, Theme Song Lyrics, Theme Song Arrangement']]
