animeTitle	Kao Haru CMs
animeType	Special
animeNumEpisode	Unknown
releaseDate	2018-12-28 00:00:00
endDate	
animeNumMembers	194
animeScore	
animeUsers	
animeRank	16604
animePopularity	16123
animeDescription	Kao Japan is a chemical and cosmetics company. For their spring campaign to bring in the freshness and happiness of their customers, they have commissioned Yoshiharu Satou to create animated commercials.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
