animeTitle	Iiwake Love Song
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	106
animeRank	
animePopularity	16298
animeDescription	MMD music video for the song Iiwake Love Song by Vocaloid composer Noah, featuring Hatsune Miku. It was included as the title track for the album distributed by 2D M3NTiON on their website, featuring various remixes of the song.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
