animeTitle	Marumofubiyori
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2017-04-03 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14814
animeDescription	"Marumofubiyori is a Sanrio universe line introduced in Tokyo's Shinjuku Ward on February 6, 2017. Now with an anime adaptation we see a white bear in a blanket known as Mop and his friends.

(Source: Sanrio Wiki)
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
