animeTitle	b'Koutetsu Sangokushi'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	2197
animeRank	
animePopularity	
animeDescription	b'The Imperial Seal has been passed down through the generations since ancient times. It confers great power unto the warriors that it chooses. This is the story of those warriors.\n\nIt is a time of chaos and of civil war. It is a time when great armies clash in titanic battles and great heroes carve their names in history. It is also a time of death and destruction, when the people of the land live in constant fear of the sword. Onto this stage steps the reluctant Rikuson (Lu Xun), whose family had been the guardians of the Imperial Seal up until it was stolen by Sonsaku. At the behest of his mentor Rikuson offers his services to Sonsaku with the intention of confirming the will of the Imperial Seal. However, assassins strike down Sonsaku and the Imperial Seal is lost. So begins, Rikuson\xe2\x80\x99s journey to recover the Imperial Seal and discover his destiny.\n\n(Source: AniDB)'
animeRelated	[b'Koutetsu Sangokushi Special']
animeCharacters	"[b'Shoukatsuryou, Koumei', b'Chuubou, Sonken', b'Hakugen, Rikuson', b'Kouseki, Ryoutou', b'Shimei, Ryomou', b'Kouha, Kannei', b'Shoukatsukin, Shiyu', b""Shiryuu, Chou'un"", b'Koukin, Shuuyu', b'Kouso, Genyou']"
animeVoices	[b'\nKoyasu, Takehito\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nYusa, Kouji\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHiramitsu, Takuya\n\nSound Director\n\n', b'\nYamashita, Kenichi\n\nScript\n\n', b'\nMiyano, Mamoru\n\nTheme Song Performance, Inserted Song Performance\n\n', b'\nInotsume, Shinichi\n\nScreenplay\n\n']
