animeTitle	Shinseiki Cream Lemon
animeType	OVA
animeNumEpisode	2
releaseDate	2001-07-27 00:00:00
endDate	2002-08-23 00:00:00
animeNumMembers	1577
animeScore	5.55
animeUsers	352
animeRank	
animePopularity	10069
animeDescription	"No synopsis has been added for this series yet.

Click here to update this information."
animeRelated	['Cream Lemon']
animeCharacters	['Hayakawa, Naomi', 'Komatsuzaki, Rie', 'Midori', 'Nonomura, Ami', 'Kouno, Ryuji']
animeVoices	['Oikawa, Hitomi']
animeStaff	[]
