animeTitle	Nagareboshi Lens
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	11233
animeRank	
animePopularity	3818
animeDescription	"The story follows Risa, a girl with zero experience in romance. Meanwhile, a boy named Yuugure is the most popular student in Risa's school year. Even though the two have had no contact with each other in the past, they find themselves at school at the same time one night. 

(Source: ANN) "
animeRelated	['Nagareboshi Lens', 'Nagareboshi Lens Specials']
animeCharacters	['Yuugure, Touga', 'Hanakago, Risa', 'Minami, Yuriko']
animeVoices	['Asanuma, Shintaro', 'Hanazawa, Kana', 'Hayami, Saori']
animeStaff	[['Kaneko, Shingo', 'Producer, Director, Episode Director, Storyboard'], ['Takahashi, Natsuko', 'Script, Screenplay'], ['Morinaga, Mayumi', 'Theme Song Performance'], ['Murata, Mayu', 'Original Creator']]
