animeTitle	Umayon
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	5122
animeRank	
animePopularity	4711
animeDescription	"It's a ""pop"" and cute everyday anime based on the 4-koma manga featuring the characters from Uma Musume: Pretty Derby."
animeRelated	['Uma Musume: Pretty Derby (TV)']
animeCharacters	['Toukai Teiou', 'Special Week', 'Silence Suzuka', 'El Condor Pasa', 'Seiun Sky', 'Grass Wonder', 'King Halo']
animeVoices	['Machico', 'Waki, Azumi', 'Kouno, Marika', 'Takahashi, Minami', 'Kitou, Akari', 'Maeda, Rena', 'Saeki, Iori']
animeStaff	[['Miyajima, Seiya', 'Director, Storyboard, Character Design, Chief Animation Director'], ['Morita, Yuuichi', 'Sound Director'], ['Itou, Jin', 'Storyboard'], ['Kitou, Akari', 'Theme Song Performance']]
