animeTitle	Kao no nai Tsuki
animeType	OVA
animeNumEpisode	5
releaseDate	2001-12-08 00:00:00
endDate	2004-07-23 00:00:00
animeNumMembers	
animeScore	6.63
animeUsers	4226
animeRank	
animePopularity	5310
animeDescription	Suzuna is the only daughter of the Kuraki family. She is training hard to become a priestess. Tomomi brings her to the house of her husband-to-be. The mansion is under a strange spell, releasing the sexual desires of everyone inside. 
animeRelated	['Kao no nai Tsuki Comic Collection', 'Kao no nai Tsuki Visual Comic Anthology', 'Touka Gettan']
animeCharacters	['Kuraki, Suzuna', 'Hayama, Koichi', 'Kuraki, Mizuna', 'Harukawa, Tomomi', 'Kuraki, Yuriko', 'Kurihara, Sayaka']
animeVoices	['Kobayashi, Sanae', 'Ishida, Akira', 'Asai, Kiyomi', 'Itou, Miki', 'Takano, Naoko']
animeStaff	[['Araki, Hideki', 'Storyboard'], ['Carnelian', 'Original Character Design'], ['Hattori, Noritomo', 'Animation Director'], ['Ishihara, Keiji', 'Character Design, Animation Director']]
