animeTitle	Nagasarete Airantou
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.25
animeUsers	39298
animeRank	
animePopularity	1728
animeDescription	"Ikuto Touhohin just had a fight with his old man, one that led him to make a rash decision to run away from home. He boards a ship, deciding to take a vacation, but the ship is suddenly hit by a huge storm—one that sends Ikuto overboard! When he regains consciousness, he realizes he is still alive on some island. An isolated island. An isolated island with nothing but girls. Beautiful girls. Stranded on an island with only girls, no electricity, gas, radio, television, like he was back in the stone age.

(Source: AniDB)"
animeRelated	['Nagasarete Airantou']
animeCharacters	['Suzu', 'Touhouin, Ikuto', 'Machi', 'Rin', 'Ayane', 'Tonkatsu', 'Shinobu', 'Mei Mei', 'Karaage', 'Yukino']
animeVoices	['Horie, Yui', 'Shimono, Hiro', 'Takahashi, Mikako', 'Shiraishi, Ryouko', 'Chiba, Saeko', 'Watanabe, Akeno', 'Kimoto, Orie', 'Nabatame, Hitomi', 'Oota, Tetsuharu', 'Hasegawa, Shizuka']
animeStaff	[['Okamoto, Hideki', 'Director, Episode Director, Storyboard'], ['Koga, Kazuomi', 'Episode Director'], ['Ishikura, Kenichi', 'Episode Director'], ['Ikeda, Mamiko', 'Script, Series Composition, 2nd Key Animation']]
