animeTitle	Lupin III: Ai no Da Capo - Fujiko's Unlucky Days
animeType	Special
animeNumEpisode	1
releaseDate	1999-07-30 00:00:00
endDate	
animeNumMembers	6108
animeScore	6.8
animeUsers	2379
animeRank	4625
animePopularity	6454
animeDescription	"When Fujiko acquires and memorizes papers called the Columbus Files, she is attacked and loses her memory. Lupin, a treasure hunter named Rosaria, and the cackling villain Nazaroff all pursue Fujiko, as she is the only key to the location of Columbus' Egg, a treasure connected to the mysterious Orgone Energy. 

(Source: ANN)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Nazaroff']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou', 'Chiba, Shigeru']
animeStaff	[['Cook, Justin', 'Producer'], ['Watson, Barry', 'Producer'], ['Watanabe, Shinichi', 'Director'], ['Vale, Eric', 'Script']]
