animeTitle	Kinnikuman: Kinnikusei Oui Soudatsu-hen
animeType	TV
animeNumEpisode	46
releaseDate	1991-10-06 00:00:00
endDate	1992-09-27 00:00:00
animeNumMembers	2636
animeScore	6.76
animeUsers	817
animeRank	4808
animePopularity	8732
animeDescription	Kinnikuman has proven himself worthy to be crowned the next king of Planet Kinniku. But at the ceremony, five other Kinnikuman's arrive, all claiming to be the true prince of Planet Kinniku. Now, a Royal Survivor Tournament is being held to decide the true successor to the throne, and with the help and support of his friends and with his recently acquired knowledge of the Ultimate Technique (The Muscle Spark), Kinnikuman fights for what is rightfully his.
animeRelated	['Kinnikuman', 'Kinnikuman II Sei']
animeCharacters	['Kinniku, Suguru', 'Alexandria Meat', 'Robin Mask', 'Ramenman, Victory', 'Warsman', 'Brocken Jr.', 'Terryman', 'Kinniku, Ataru', 'Ashuraman', 'Buffaloman']
animeVoices	['Kamiya, Akira', 'Matsushima, Minori', 'Ikemizu, Michihiro', 'Mikimoto, Yuji', 'Kakegawa, Hirohiko', 'Hayami, Show', 'Chiba, Shigeru', 'Yamaguchi, Ken', 'Matsuda, Juji']
animeStaff	[['Umezawa, Atsutoshi', 'Director, Episode Director'], ['Shirato, Takeshi', 'Director, Episode Director, Storyboard'], ['Kaneko, Shingo', 'Episode Director, Storyboard'], ['Fuji, Mineo', 'Episode Director']]
