animeTitle	Iron Kid
animeType	TV
animeNumEpisode	26
releaseDate	2006-04-06 00:00:00
endDate	2006-09-28 00:00:00
animeNumMembers	
animeScore	6.91
animeUsers	2181
animeRank	
animePopularity	7692
animeDescription	"In a futuristic world, young Marty stumbles upon a bionic arm which endows him with superhuman powers and put him at the centre of a centuries-old struggle between good and evil. His teenager heart will now begin a long-way training together with two loyal friends: Buttons, his robo-puppy, and the brave Ally.

(Source: Official website)"
animeRelated	[]
animeCharacters	['Ally', 'Gaff', 'Marty', 'Buttons']
animeVoices	[]
animeStaff	[]
