animeTitle	Nekketsu Tantei Jimusho
animeType	ONA
animeNumEpisode	5
releaseDate	2013-09-16 00:00:00
endDate	2013-10-15 00:00:00
animeNumMembers	
animeScore	5.34
animeUsers	171
animeRank	
animePopularity	13212
animeDescription	"It is year 40XX in the Universal Era. The story takes place on Jinmen planet which is quite far away in the universe. 

This is a passionate tale about a human-faced dog and his troubled comrades.

(Source: Anime Bancho)"
animeRelated	['Nekketsu Jinmen Inu: Life Is Movie']
animeCharacters	['Passionate Human-Faced Dog']
animeVoices	[]
animeStaff	[['Yamamoto, Junichi', 'Script, Original Creator, Original Character Design'], ['Inai, Keiji', 'Music']]
